,TCGA-3L-AA1B-01A-11R-A37K-07,TCGA-4N-A93T-01A-11R-A37K-07,TCGA-4T-AA8H-01A-11R-A41B-07,TCGA-5M-AAT4-01A-11R-A41B-07,TCGA-5M-AAT5-01A-21R-A41B-07
6868,3.92893835999258,3.14525002052855,3.22098441717543,3.93563496065489,3.73681985144378
8749,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
8728,3.51673024036061,2.01001070176105,2.36011675862287,4.60402588791079,2.66676091799333
8748,-5.36586901182719,-4.89511435475951,-3.89601771347709,-3.65953727353144,-6.64385618977472
145241,-5.06284048709228,-5.23846191849481,-4.77323395067662,-4.56866807418909,-5.16478051786871
8747,-3.70108337846843,-5.39001017874282,-4.95061862294329,-4.75567473571496,-6.64385618977472
53616,-1.60554155725067,-3.2140259894883,-1.69957618271865,-2.24762593677901,-1.97449858693666
8745,0.400847159411806,-3.66418895736913,-6.64385618977472,-4.26587212571994,-3.37551376838716
10863,2.75245363745826,-1.12271493416659,-1.23957050282726,-2.25601571787115,-1.34302822715248
11086,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
2515,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
11085,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
203102,2.7234950171278,-1.1283776945132,0.152858820817141,-0.646339822569257,-1.40314674610691
80332,2.84989538719634,-0.910780157376654,-1.07497091427173,-0.884730704412857,0.0459204650637244
1587,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
255926,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
