,test
119,-2.07966245000372
120,6.62112411003995
124,-2.4044562847535
125,3.35155496856803
126,2.4890689691102
127,1.03492170921201
128,6.75385153793988
130,3.6764774154096
131,-6.64385618977472
137872,-1.52449761702882
55256,6.67837039930652
149685,-6.64385618977472
9370,-6.64385618977472
51094,6.173355893677
79602,5.68027674859284
132,4.02768265339083
79924,2.09815303260441
133,3.60062479221793
22850,3.01315150878164
23394,5.83502425496785
134,0.431479160573787
135,1.12064287459568
136,3.58905069059274
140,-0.185519137231045
84890,3.61403272556314
83440,5.25422545887909
113622,2.34815500713902
54936,4.80234224598699
141,2.18287142088094
148,-3.12438400795148
147,-3.61248396448161
146,-2.64687479507062
150,2.64380518557827
151,-1.29108102088147
152,4.23759886532551
153,-1.27714413922439
154,-0.263178019432095
155,-1.9066929825064
156,6.6101292432092
157,1.42998053568503
11047,7.61011648609856
158,6.02108486469495
122622,-0.624501107200474
159,5.21002436402189
165,6.43936721454292
121536,3.49245451662202
64782,5.05403177066955
166,8.74931230193643
134265,0.891878630076507
84632,3.2385164708562
60312,4.59597171553746
246182,-0.598430745082221
4299,4.29963764043202
2334,-2.96837902923769
3899,-0.871816697210397
27125,4.53413687117453
172,3.49324371838742
10939,5.20575440414948
125061,5.12961900787699
173,-6.64385618977472
174,-1.78711149288462
54812,5.04987609561524
387763,4.5799764891765
119385,-1.20255240272709
116987,3.10352036159025
116986,1.95137087096198
116988,6.04806301546824
119016,3.15487362131038
729092,0.353181958732504
414189,2.53889946405068
653268,0.954945553904167
728404,0.360754692480065
175,3.93616488601136
123624,-6.64385618977472
79841,-0.530565788007858
340351,-2.33012296414485
84871,-4.33282086356814
60509,4.62183643659148
177,2.42444184661014
3267,4.17780538340715
3268,3.66057947949251
55109,4.21997848236798
55750,4.41712010518394
178,2.56788187608746
79814,4.51697261056115
10554,5.81796468169606
10555,7.32227351975784
56894,4.9762187206059
56895,1.22627135625066
55326,4.34319554888227
137964,4.89810783612662
84803,1.71003405152251
123688,1.07660955617359
8540,4.03169047657416
10551,10.823811005585
155465,6.97594855389049
375790,5.23874142159391
181,-6.64385618977472
23287,2.47592239767137
185,-1.73370492984481
186,-6.64385618977472
57085,5.21487466979184
183,3.13723990703207
64850,-6.64385618977472
85007,4.87938404910405
64902,-4.3266608073955
189,-0.440403882421773
25909,3.50085507144059
10768,5.75486558923428
23382,4.39136703078351
191,8.55146336945286
27245,2.75781415509638
54806,2.96084635587439
113146,0.823774523618951
79026,5.51400441594687
57491,-1.61222540326337
196,4.07941684050271
10598,7.15567839675476
130872,5.62322202602129
197,-4.67787079283271
51327,-6.64385618977472
57379,-3.90110087643252
64853,3.99645159487947
